,90s,Goals,Assists,Shots,SOG,Crosses,Assisted Shot,Accurate Pass,Foul Drawn,Foul Conceded,Tackle Won,Passes Int,Yellow Card,Red Card,Saves,Goal Conceded,
James Ward-Prowse (16466579),24,5,5,23,12,121,,1394,15,33,37,30,4,,,,11.3366666666667
Stuart Dallas (16466593),23.9,4,2,26,10,39,,1272,24,31,39,36,5,,,,8.31548117154812
Luke Ayling (16466605),23.8,,,15,3,40,,1450,34,15,36,24,5,,,,5.96638655462185
Alex McCarthy (16466595),23,,,,,,,517,2,,,,2,,61,40,2.23217391304348
Illan Meslier (16466586),23,,,,,,,743,5,1,,,,,87,42,4.75478260869565
Jan Bednarek (16466622),22.9,1,1,9,4,,,1215,10,16,12,37,3,1,,,3.41921397379913
Patrick Bamford (16466580),22.8,12,5,79,33,6,,263,18,23,12,7,1,,,,12.8052631578947
Ryan Bertrand (16466607),21.9,0,1,8,3,48,,921,24,24,35,22,5,,,,5.45753424657534
Jack Harrison (16466581),20.9,6,4,33,12,87,,542,16,16,23,15,2,,,,11.3033492822967
Mateusz Klich (16466600),20.9,3,5,25,7,48,,975,17,38,32,14,5,,,,8.35406698564593
Che Adams (16466591),19.3,4,4,38,17,5,,290,34,17,11,5,1,,,,8.59067357512953
Oriol Romeu (16466625),18.5,1,1,14,4,5,,998,21,30,33,23,6,,,,5.34918918918919
Liam Cooper (16466611),17.8,1,,14,7,,,1072,21,13,38,31,3,,,,6.51348314606742
Stuart Armstrong (16466584),17.2,3,3,24,4,15,,522,16,24,28,17,1,,,,7.90348837209302
 Raphinha (16466578),16,4,5,47,20,98,0,468,15,9,12,18,2,0,0,0,15.21625
Jannik Vestergaard (16466609),15.5,3,,12,6,2,,828,6,13,18,18,,,,,5.96516129032258
Pascal Struijk (16466614),13.2,1,,9,3,1,,746,4,14,13,23,2,,,,4.25151515151515
Nathan Redmond (16466590),9,1,1,18,4,18,,283,11,14,11,5,,,,,8.19555555555556
Tyler Roberts (16466602),5.1,,1,8,2,6,,126,13,7,3,,,,,,6.90588235294118
Nathan Tella (16466630),1.9,,,2,0,5,,21,7,4,,,,,,,5.74736842105263
Mohammed Salisu (16466628),1.2,,,,,,,36,2,0,1,1,,,,,3.51666666666667
Diego Llorente (16466621),1,,,,,0,,65,0,1,4,2,1,,,,4.3
