team,teamPage
Atlanta Hawks,/home/trihard8/repo/projects/leagues/data/ATL/
Boston Celtics,/home/trihard8/repo/projects/leagues/data/BOS/
Brooklyn Nets,/home/trihard8/repo/projects/leagues/data/NJN/
Charlotte Hornets,/home/trihard8/repo/projects/leagues/data/CHA/
Chicago Bulls,/home/trihard8/repo/projects/leagues/data/CHI/
Cleveland Cavaliers,/home/trihard8/repo/projects/leagues/data/CLE/
Dallas Mavericks,/home/trihard8/repo/projects/leagues/data/DAL/
Denver Nuggets,/home/trihard8/repo/projects/leagues/data/DEN/
Detroit Pistons,/home/trihard8/repo/projects/leagues/data/DET/
Golden State Warriors,/home/trihard8/repo/projects/leagues/data/GSW/
Houston Rockets,/home/trihard8/repo/projects/leagues/data/HOU/
Indiana Pacers,/home/trihard8/repo/projects/leagues/data/IND/
Los Angeles Clippers,/home/trihard8/repo/projects/leagues/data/LAC/
Los Angeles Lakers,/home/trihard8/repo/projects/leagues/data/LAL/
Memphis Grizzlies,/home/trihard8/repo/projects/leagues/data/MEM/
Miami Heat,/home/trihard8/repo/projects/leagues/data/MIA/
Milwaukee Bucks,/home/trihard8/repo/projects/leagues/data/MIL/
Minnesota Timberwolves,/home/trihard8/repo/projects/leagues/data/MIN/
New Orleans Pelicans,/home/trihard8/repo/projects/leagues/data/NOH/
New York Knicks,/home/trihard8/repo/projects/leagues/data/NYK/
Oklahoma City Thunder,/home/trihard8/repo/projects/leagues/data/OKC/
Orlando Magic,/home/trihard8/repo/projects/leagues/data/ORL/
Philadelphia 76ers,/home/trihard8/repo/projects/leagues/data/PHI/
Phoenix Suns,/home/trihard8/repo/projects/leagues/data/PHO/
Portland Trail Blazers,/home/trihard8/repo/projects/leagues/data/POR/
Sacramento Kings,/home/trihard8/repo/projects/leagues/data/SAC/
San Antonio Spurs,/home/trihard8/repo/projects/leagues/data/SAS/
Toronto Raptors,/home/trihard8/repo/projects/leagues/data/TOR/
Utah Jazz,/home/trihard8/repo/projects/leagues/data/UTA/
Washington Wizards,/home/trihard8/repo/projects/leagues/data/WAS/
